geumNo,gubunCd,gubunNm,positionCd,positionNm,geumNm,geumType,geumTypeNm,processCd,processNm,gradeCd,gradeNm,isCheck1,isCheckClean,isCheck,isClean,carType,prodCd,prodNm,custNm,accCnt,checkValue,cleanValue,vsCheck,csClean,checkRestCnt,cleanRestCnt,imgSrc
83509-HB520,0,보관장,A01,A-01,DAMPER-A REST HINGY,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,HB,83509-HB520,DAMPER-A REST HINGY,,0,70000,50000,0,0,70000,50000,ham01.jpg
18431-RP800,0,보관장,A02,A-02,SOCKET-RECL,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,8Series,18431-RP800,SOCKET-RECL,국림피엔텍(주),50,50000,40000,50,50,49950,39950,ham02.jpg
88111-HM800,0,보관장,A03,A-03,HOUSING,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,8Series,88111-HM800,HOUSING,국림피엔텍(주),0,50000,40000,0,0,50000,40000,ham03.jpg
551A6-6CA0AY,0,보관장,A04,A-04,PROTO-RR SUSP LINK R,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,L42P,551A6-6CA0AY,PROTO-RR SUSP LINK RH,동소금속,0,70000,50000,0,0,70000,50000,ham04.jpg
68309/409-PU000,0,보관장,A05,A-05,KNOB RECL LEVER L/R,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,PU,68309-PU000,KNOB RECL LEVER LH,,2859,70000,50000,2859,2859,67141,47141,ham05.jpg
142-3002/3016-00,0,보관장,A06,A-06,INNER CASE 5T/8T,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TRUCK,142-3002-00,INNER CASE 5T,,5085,70000,50000,5085,5085,64915,44915,ham06.jpg
N00.086-00,0,보관장,A07,A-07,PLATE ASS'Y(GDI),M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TM,N00.086-00,PLATE ASS'Y(GDI),만도-Hella,10329,70000,50000,10329,10329,59671,39671,Han.jpg
N00.086-02,0,보관장,A08,A-08,PLATE ASS'Y(DSL),M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TM,N00.086-02,PLATE ASS'Y(DSL),만도-Hella,26123,70000,50000,26123,26123,43877,23877,Han40.jpg
88193-IG520,0,보관장,A09,A-09,END CAP LH,M01,인젝션금형,2,양산,B,B 등급,"세척,점검",YY,Y,Y,IG,88193-IG520,END CAP LH,,107839,50000,30000,107839,107839,-57839,-77839,ham01.jpg
Y111000-0094,0,보관장,A10,A-10,OUTER PIPE,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,MODEL-X,Y111000-0094,OUTER PIPE,,27231,50000,40000,27231,27231,22769,12769,ham02.jpg
B217000-0001-01,0,보관장,A11,A-11,UPR CAP,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TL,B217000-0001,UPR CAP-1,,0,50000,40000,0,0,50000,40000,ham03.jpg
B217000-0001-02,0,보관장,A12,A-12,UPR CAP,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TL,B217000-0001,UPR CAP-2,,0,50000,40000,0,0,50000,40000,ham04.jpg
A1115000-0001,0,보관장,A13,A-13,MAIN CASE,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,ADA,A111500-0001,MAIN CASE,,0,50000,40000,0,0,50000,40000,ham05.jpg
A11F000-0001,0,보관장,A14,A-14,CASE,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,ADA,A11F000-0001,CASE,,31135,50000,40000,31135,31135,18865,8865,ham06.jpg
A112200-0025,0,보관장,A15,A-15,ORIFICE LWR,M01,인젝션금형,2,양산,A,A 등급,세척,NY,N,Y,ADA,A112200-0025,ORIFICE LWR,,36744,50000,40000,36744,36744,13256,3256,Han.jpg
A112100-0025,0,보관장,B01,B-01,ORIFICE UPR,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,ADA,A112100-0025,ORIFICE UPR,,35132,50000,40000,35132,35132,14868,4868,Han40.jpg
930A-00000/00009,0,보관장,B02,B-02,INNER CASE(L/S),M01,인젝션금형,2,양산,A,A 등급,"세척,점검",YY,Y,Y,GRACE,930A-00000,INNER CASE (LARGE),,76938,70000,50000,76938,76938,-6938,-26938,ham01.jpg
9P19-90000,0,보관장,B03,B-03,ORIFICE LWR,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,DM,9P19-90000,ORIFICE LOWER,,4480,50000,40000,4480,4480,45520,35520,ham02.jpg
A112200-0022,0,보관장,B04,B-04,ORIFICE LWR,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,AN,A112200-0022,ORIFICE LOWER,,1100,50000,40000,1100,1100,48900,38900,ham03.jpg
144-2044-00,0,보관장,B05,B-05,INNER PIPE ASS'Y,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,JM,144-2044-00,INNER PIPE ASSY,,0,50000,40000,0,0,50000,40000,ham04.jpg
145-2045-01,0,보관장,B06,B-06,INNER PIPE ASS'Y,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,NF,145-2045-01,INNER PIPE ASSY,,0,50000,40000,0,0,50000,40000,ham05.jpg
145-2070-00,0,보관장,B07,B-07,INNER PIPE ASS'Y,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,NF,145-2070-00,INNER PIPE ASSY,,0,50000,40000,0,0,50000,40000,ham06.jpg
9C41-20000,0,보관장,B08,B-08,INNER PIPE ASS'Y SM7,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,LF,9C41-20000,INNER PIPE ASSY,,0,50000,40000,0,0,50000,40000,Han.jpg
JOINT-CAP,0,보관장,B09,B-09,JOINT CAP,M01,인젝션금형,3,A/S,A,A 등급,NN,NN,N,N,A/S,JOINT-CAP,JOINT CAP,,0,70000,50000,0,0,70000,50000,Han40.jpg
SM-CAP,0,보관장,B10,B-10,SM CAP,M01,인젝션금형,3,A/S,A,A 등급,NN,NN,N,N,A/S,SM-CAP,SM CAP,,0,70000,50000,0,0,70000,50000,ham01.jpg
NUT-CAP-SMALL,0,보관장,B11,B-11,NUT CAP (SMALL),M01,인젝션금형,3,A/S,A,A 등급,NN,NN,N,N,A/S,NUT CAP (SMALL),NUT CAP (SMALL),,0,70000,50000,0,0,70000,50000,ham02.jpg
NUT-CAP-LARGE,0,보관장,B12,B-12,NUT CAP (LARGE),M01,인젝션금형,3,A/S,A,A 등급,NN,NN,N,N,A/S,NUT CAP (LARGE),NUT CAP (LARGE),,0,70000,50000,0,0,70000,50000,ham03.jpg
A112200-0028,0,보관장,B13,B-13,ORFICE LOWER,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,AB,A112200-0028,ORIFICE LOWER,,11329,50000,40000,11329,11329,38671,28671,ham04.jpg
88904-Y4540,0,보관장,B14,B-14,GUIDE BUSH FLEXIBLE,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,Y400,88904-Y4540,GUIDE BUSH-FLEXBLE,,0,50000,40000,0,0,50000,40000,ham05.jpg
18118-RM2BO,0,보관장,B15,B-15,DAMPER SHAFT BAR,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,EN,18118-RM2B0,DMAPER SHAFT BAR,,10690,70000,50000,10690,10690,59310,39310,ham06.jpg
Y113000-0026,0,보관장,C01,C-01,MODEL-3 0026,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,Y113000-0026,FRT LHS BUSH,,0,50000,40000,0,0,50000,40000,Han.jpg
E50000-0003,0,보관장,C02,C-02,DUST COVER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,E50000-003,DUST COVER,,0,70000,50000,0,0,70000,50000,Han40.jpg
00000-00001,0,보관장,C03,C-03,OUTER PIPE,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,TM,00000-00001,OUTER PIPE,(주)대흥R&T,0,50000,40000,0,0,50000,40000,ham01.jpg
2PD29000-0,0,보관장,C04,C-04,ROTOR SUB,M02,인서트금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,2PD29000-0,ROTOR SUB,,0,999999999,999999999,0,0,999999999,999999999,ham02.jpg
8900-4A000,0,보관장,C05,C-05,HOLDER ASS'Y,M02,인서트금형,3,A/S,A,A 등급,NN,NN,N,N,A/S,8900-4A000,HOLDER ASS'Y,,0,70000,50000,0,0,70000,50000,ham03.jpg
A1121000-0020,0,보관장,C06,C-06,ORIFICE LWR,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,ADA,A112200-0025,ORIFICE LWR,,0,50000,40000,0,0,50000,40000,ham04.jpg
A112200-0030-2,0,보관장,C07,C-07,ORIFICE LWR,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,TM,A112200-0030,ORIFICE LWR,,0,50000,40000,0,0,50000,40000,ham05.jpg
88303-V1520,0,보관장,C08,C-08,CLIP T/SPRING,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,,88303-V1520,CLIP T/SPRING,,0,999999999,999999999,0,0,999999999,999999999,ham06.jpg
AA17204,0,보관장,C09,C-09,INSULATOR 1-STEP,M02,인서트금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,AA17204,INSULATOR SUB ASS'Y,,0,50000,40000,0,0,50000,40000,Han.jpg
HD017-101002-X01A,0,보관장,C10,C-10,HSG 2-STEP,M02,인서트금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,HD017-101002-X01A,HSG 2-STEP,,0,999999999,999999999,0,0,999999999,999999999,Han40.jpg
00000-00002,0,생산,C11,C-11,INSULATOR PIPE,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(SNAP),00000-00002,INSULATOR PIPE,,0,50000,40000,0,0,50000,40000,ham01.jpg
00000-00003,0,보관장,C12,C-12,N3(TM) ORIFICE LWR,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(TM),00000-00003,ORIFICE LWR,,0,50000,40000,0,0,50000,40000,ham02.jpg
00000-00004,0,생산,C13,C-13,N3(ENG)ORIFICE LWR,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,,,,,0,50000,40000,0,0,50000,40000,ham03.jpg
00000-00005,0,보관장,C14,C-14,N3(SNAP) BRK'T,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(SNAP),00000-00005,INSULATOR BRKT,,0,50000,40000,0,0,50000,40000,ham04.jpg
00000-00006,0,수리,C15,C-15,MIDDLE PLATE,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,TM,00000-00005,MIDDLE PLATE,,0,50000,40000,0,0,50000,40000,ham05.jpg
F121000-0001,0,보관장,D01,D-01,PLASTIC RING,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,F121000-0001,PRASTIC RING,,0,70000,50000,0,0,70000,50000,ham06.jpg
Y111000-0158-02,0,보관장,D02,D-02,158,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,Y111000-0158,FRT GEARCASE BUSH,,0,50000,40000,0,0,50000,40000,Han.jpg
Y112000-0086,0,보관장,D03,D-03,86,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,MODEL-3,Y112000-0086,FRT RHS BUSH,,0,50000,40000,0,0,50000,40000,Han40.jpg
930A-00000,0,수리,D04,D-04,GRASE BUSH 대/소,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,GRACE,930A-00000,INNER CASE (LARGE),,0,70000,50000,0,0,70000,50000,ham01.jpg
55160-A3100,0,보관장,D05,D-05,STOPPER PLASTIC,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,TAM,55160-A3100,STOPPER PLASTIC,,0,70000,50000,0,0,70000,50000,ham02.jpg
A22000-0002,0,보관장,D08,D-08,CMF-1 STOPPER,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,CMF1,A220000-0002,STOPPER,,0,70000,50000,0,0,70000,50000,ham03.jpg
88923-Y4540,0,수리,D09,D-09,CLAMP TILT,M01,인젝션금형,2,양산,A,A 등급,NN,NN,N,N,Y400,88923-Y4540,CLAMP TILT,,0,70000,50000,0,0,70000,50000,ham04.jpg
AA17002,0,보관장,D10,D-10,STATOR ASS'Y(2STEP),M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,CVVD,AA17002,STATOR ASS'Y(2STEP),,0,50000,40000,0,0,50000,40000,ham05.jpg
A112200-0029,0,보관장,D11,D-11,ORIFICE LOWER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(ENG),A112200-0029,ORIFICE LOWER,,0,50000,40000,0,0,50000,40000,ham06.jpg
A112100-0028,0,보관장,D12,D-12,ORIFICE UPPER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(ENG),A112100-0028,ORIFICE UPPER,,0,50000,40000,0,0,50000,40000,Han.jpg
A215200-0007,0,보관장,D15,D-15,ORIFICE UPPER,M01,인젝션금형,1,시작,A,A 등급,NN,NN,N,N,N3(TM),A215200-0007,ORIFICE UPPER,,0,50000,40000,0,0,50000,40000,Han40.jpg